"","Data","Vazao_CA","Vazao1_CA_1d","Vazao1_CA_7d","Vazao1_CA_15d","Vazao1_CA_30d"
"1",2000-03-01,335,335,335,335,335
"2",2000-03-02,329,329,329,329,329
"3",2000-03-03,278,278,278,278,278
"4",2000-03-04,250,250,250,250,250
"5",2000-03-05,183,183,183,183,183
"6",2000-03-06,362,362,362,362,362
"7",2000-03-07,714,714,714,714,714
"8",2000-03-08,402,402,402,402,402
"9",2000-03-09,259,259,259,259,259
"10",2000-03-10,183,183,183,183,183
"11",2000-03-11,146,146,146,146,146
"12",2000-03-12,124,124,124,124,124
"13",2000-03-13,113,113,113,113,113
"14",2000-03-14,107,107,107,107,107
"15",2000-03-15,94,94,94,94,94
"16",2000-03-16,79,NA,79,79,79
"17",2000-03-17,72,72,72,72,72
"18",2000-03-18,68,68,68,68,68
"19",2000-03-19,66,66,66,66,66
"20",2000-03-20,61,61,61,61,61
"21",2000-03-21,55,55,55,55,55
"22",2000-03-22,51,51,51,51,51
"23",2000-03-23,47,47,47,47,47
"24",2000-03-24,46,46,46,46,46
"25",2000-03-25,58,58,58,58,58
"26",2000-03-26,73,73,73,73,73
"27",2000-03-27,70,70,70,70,70
"28",2000-03-28,82,82,82,82,82
"29",2000-03-29,84,84,84,84,84
"30",2000-03-30,91,91,91,91,91
"31",2000-03-31,73,73,73,73,73
"32",2000-04-01,58,58,58,58,58
"33",2000-04-02,50,50,50,50,50
"34",2000-04-03,45,45,45,45,45
"35",2000-04-04,41,41,41,41,41
"36",2000-04-05,38,38,38,38,38
"37",2000-04-06,35,35,35,35,35
"38",2000-04-07,32,32,32,32,32
"39",2000-04-08,30,30,30,30,30
"40",2000-04-09,27,NA,27,27,27
"41",2000-04-10,26,26,26,26,26
"42",2000-04-11,24,24,24,24,24
"43",2000-04-12,26,26,26,26,26
"44",2000-04-13,58,58,58,58,58
"45",2000-04-14,126,126,126,126,126
"46",2000-04-15,121,121,121,121,121
"47",2000-04-16,71,71,71,71,71
"48",2000-04-17,84,84,84,84,84
"49",2000-04-18,153,NA,153,153,153
"50",2000-04-19,153,153,153,153,153
"51",2000-04-20,128,128,128,128,128
"52",2000-04-21,113,113,113,113,113
"53",2000-04-22,98,98,98,98,98
"54",2000-04-23,88,88,88,88,88
"55",2000-04-24,80,80,80,80,80
"56",2000-04-25,74,74,74,74,74
"57",2000-04-26,67,67,67,67,67
"58",2000-04-27,61,61,61,61,61
"59",2000-04-28,58,58,58,58,58
"60",2000-04-29,82,82,82,82,82
"61",2000-04-30,105,105,105,105,105
"62",2000-05-01,89,89,89,89,89
"63",2000-05-02,73,73,73,73,73
"64",2000-05-03,58,58,58,58,58
"65",2000-05-04,52,52,52,52,52
"66",2000-05-05,83,83,83,83,83
"67",2000-05-06,243,243,243,243,243
"68",2000-05-07,287,287,287,287,287
"69",2000-05-08,206,206,206,206,206
"70",2000-05-09,141,141,141,141,141
"71",2000-05-10,108,NA,108,108,108
"72",2000-05-11,94,94,94,94,94
"73",2000-05-12,84,84,84,84,84
"74",2000-05-13,74,74,74,74,74
"75",2000-05-14,65,65,65,65,65
"76",2000-05-15,60,60,60,60,60
"77",2000-05-16,56,56,56,56,56
"78",2000-05-17,61,61,61,61,61
"79",2000-05-18,59,59,59,59,59
"80",2000-05-19,58,58,58,58,58
"81",2000-05-20,56,56,56,56,56
"82",2000-05-21,54,NA,54,54,54
"83",2000-05-22,52,52,52,52,52
"84",2000-05-23,48,48,48,48,48
"85",2000-05-24,44,44,44,44,44
"86",2000-05-25,41,41,41,41,41
"87",2000-05-26,45,45,45,45,45
"88",2000-05-27,54,54,54,54,54
